customer_field,biqh_import_field,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
ColdRiskAfterRelevanceRounded,ColdStress,decimal(28.20),dbo,ObjectRisk,ColdStress,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
PrecipitationPrognosisYear,PrecipitationYear,int,dbo,ObjectRisk,PrecipitationYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
PrecipitationRiskAfterRelevanceRounded,Precipitation,decimal(28.20),dbo,ObjectRisk,Precipitation,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
RiverFloodPrognosisYear,RiverFloodYear,int,dbo,ObjectRisk,RiverFloodYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
RiverFloodRiskAfterRelevanceRounded,RiverFlood,decimal(28.20),dbo,ObjectRisk,RiverFlood,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
RisingSeaLevelsPrognosisYear,SeaLevelRiseYear,int,dbo,ObjectRisk,SeaLevelRiseYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
RisingSeaLevelsRiskAfterRelevanceRounded,SeaLevelRise,decimal(28.20),dbo,ObjectRisk,SeaLevelRise,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
FloodRiskTotal,FloodRiskTotal,decimal(28.20),dbo,ObjectParameter,FloodTotal,,,,,Object,new
FloodRiskRiver,FloodRiskRiver,decimal(28.20),dbo,ObjectParameter,RiverFlood,,,,,Object,
FloodRiskCoast,FloodRiskCoast,decimal(28.20),dbo,ObjectParameter,CoastalFlood,,,,,Object,new
HeatWaveTotal,HeatWaveTotal,decimal(28.20),dbo,ObjectParameter,HeatStressTotal,,,,,Object,new
Insurances,Insurances,nvarchar(max),dbo,Object,Insurance,,,,,,
InsurancesReason,InsurancesReason,nvarchar(max),dbo,Object,InsuranceNote,,,,,,
LegalAndReputationalRisk,LegalAndReputationalRisk,nvarchar(max),dbo,SustainabilityReport,LegalRisk,Statement,SustainabilityReportId,,int,Statement,
LegalAndReputationalRiskReason,LegalAndReputationalRiskReason,nvarchar(max),dbo,SustainabilityReport,LegalRiskNote,Statement,SustainabilityReportId,,int,Statement,
SobSocialQualitative_LegalAndReputationalRisk,SobSocialQualitative_LegalAndReputationalRisk,nvarchar(max),dbo,SocialSustainability,SocialPillarRisk,SustainabilityReport,SocialSustainabilityId,,int,Statement,
SobSocialQualitative_LegalAndReputationalRiskReason,SobSocialQualitative_LegalAndReputationalRiskReason,nvarchar(max),dbo,SocialSustainability,SocialPillarRiskNote,SustainabilityReport,SocialSustainabilityId,,int,Statement,
SobGovernanceQualitative_LegalAndReputationalRisk,SobGovernanceQualitative_LegalAndReputationalRisk,nvarchar(max),dbo,GovernanceSustainability,GovernancePillarRisk,SustainabilityReport,GovernanceSustainabilityId,,int,Statement,
SobGovernanceQualitative_LegalAndReputationalRiskReason,SobGovernanceQualitative_LegalAndReputationalRiskReason,nvarchar(max),dbo,GovernanceSustainability,GovernancePillarRiskNote,SustainabilityReport,GovernanceSustainabilityId,,int,Statement,
TotalRiskAfterRelevanceRounded,TotalRiskAfterRelevanceRounded,decimal(28.20),dbo,ObjectRisk,Total,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,new
EPhysicalPartialZipCode,EPhysicalPartialZipCode,decimal(28.20),dbo,ObjectSpecification,LocationBasedEnergyConsumptionTotal,,,,,Object,new
